evalIDWorker	Question	Answer
5	0	32	Yes
5	0	33	Yes
5	0	31	No
5	0	5	Yes
5	0	18	Yes
5	1	32	Yes
5	1	33	No
5	1	31	No
5	1	5	No
5	1	18	Yes
5	2	32	No
5	2	33	No
5	2	31	Yes
5	2	5	Yes
5	2	18	Yes
5	3	32	No
5	3	33	No
5	3	31	No
5	3	5	Yes
5	3	18	Yes
5	4	32	No
5	4	33	No
5	4	31	No
5	4	5	No
5	4	18	Yes
5	5	32	No
5	5	33	No
5	5	31	No
5	5	5	No
5	5	18	Yes
5	6	32	No
5	6	33	No
5	6	31	No
5	6	5	No
5	6	18	No
5	7	32	Yes
5	7	33	No
5	7	31	No
5	7	5	Yes
5	7	18	Yes
5	8	32	No
5	8	33	Yes
5	8	31	Yes
5	8	5	No
5	8	18	Yes
5	9	32	No
5	9	33	Yes
5	9	31	No
5	9	5	No
5	9	18	Yes
5	10	32	No
5	10	33	No
5	10	31	No
5	10	5	Yes
5	10	18	Yes
5	11	32	No
5	11	33	No
5	11	31	Yes
5	11	5	No
5	11	18	Yes
5	12	32	No
5	12	33	No
5	12	31	No
5	12	5	No
5	12	18	Yes
5	13	32	Yes
5	13	33	No
5	13	31	No
5	13	5	No
5	13	18	Yes
5	14	32	Yes
5	14	33	No
5	14	31	No
5	14	5	No
5	14	18	Yes
5	15	32	No
5	15	33	Yes
5	15	31	No
5	15	5	Yes
5	15	18	Yes
5	16	32	No
5	16	33	No
5	16	31	No
5	16	5	No
5	16	18	Yes
5	17	32	Yes
5	17	33	No
5	17	31	No
5	17	5	Yes
5	17	18	No
5	18	32	No
5	18	33	Yes
5	18	31	No
5	18	5	No
5	18	18	Yes
5	19	32	No
5	19	33	No
5	19	31	Yes
5	19	5	No
5	19	18	Yes
5	20	32	No
5	20	33	No
5	20	31	Yes
5	20	5	Yes
5	20	18	Yes
5	21	32	Yes
5	21	33	Yes
5	21	31	Yes
5	21	5	Yes
5	21	18	No
5	22	32	Yes
5	22	33	No
5	22	31	Yes
5	22	5	Yes
5	22	18	No
5	23	32	No
5	23	33	Yes
5	23	31	No
5	23	5	Yes
5	23	18	No
5	24	32	Yes
5	24	33	No
5	24	31	Yes
5	24	5	Yes
5	24	18	No
5	25	32	Yes
5	25	33	Yes
5	25	31	Yes
5	25	5	Yes
5	25	18	No
5	26	32	Yes
5	26	33	No
5	26	31	Yes
5	26	5	Yes
5	26	18	No
5	27	32	Yes
5	27	33	No
5	27	31	Yes
5	27	5	Yes
5	27	18	No
5	28	32	Yes
5	28	33	Yes
5	28	31	Yes
5	28	5	Yes
5	28	18	No
5	29	32	Yes
5	29	33	No
5	29	31	Yes
5	29	5	Yes
5	29	18	No
5	30	32	Yes
5	30	33	No
5	30	31	Yes
5	30	5	Yes
5	30	18	Yes
5	31	32	Yes
5	31	33	Yes
5	31	31	No
5	31	5	Yes
5	31	18	Yes
5	32	32	Yes
5	32	33	Yes
5	32	31	No
5	32	5	Yes
5	32	18	Yes
5	33	32	Yes
5	33	33	No
5	33	31	No
5	33	5	Yes
5	33	18	Yes
5	34	32	Yes
5	34	33	Yes
5	34	31	Yes
5	34	5	Yes
5	34	18	Yes
5	35	32	Yes
5	35	33	No
5	35	31	Yes
5	35	5	No
5	35	18	No
5	36	32	Yes
5	36	33	No
5	36	31	No
5	36	5	Yes
5	36	18	Yes
5	37	32	Yes
5	37	33	No
5	37	31	No
5	37	5	Yes
5	37	18	No
5	38	32	Yes
5	38	33	Yes
5	38	31	Yes
5	38	5	Yes
5	38	18	No
5	39	32	Yes
5	39	33	Yes
5	39	31	Yes
5	39	5	Yes
5	39	18	No
5	40	32	Yes
5	40	33	Yes
5	40	31	No
5	40	5	Yes
5	40	18	No
5	41	32	No
5	41	33	Yes
5	41	31	Yes
5	41	5	No
5	41	18	No
5	42	32	No
5	42	33	No
5	42	31	Yes
5	42	5	No
5	42	18	No
5	43	32	Yes
5	43	33	Yes
5	43	31	No
5	43	5	Yes
