Object	DS_Pr[True]	DS_Pr[False]	DS_Category	MV_Pr[True]	MV_Pr[False]	MV_Category	DS_Exp_Cost	MV_Exp_Cost	NoVote_Exp_Cost	DS_Opt_Cost	MV_Opt_Cost	NoVote_Opt_Cost	Correct_Category	Eval_Cost_MV_ML	Eval_Cost_DS_ML	Eval_Cost_MV_Soft	Eval_Cost_DS_Soft
0	0.0	1.0	False	0.351	0.649	False	0.0	0.455	0.5	0.0	0.351	0.5	---	---	---	---	---
1	1.0	0.0	True	0.591	0.409	True	0.0	0.483	0.5	0.0	0.409	0.5	---	---	---	---	---
10	1.0	0.0	True	0.527	0.473	True	0.0	0.499	0.5	0.0	0.473	0.5	---	---	---	---	---
11	0.0	1.0	False	0.343	0.657	False	0.0	0.451	0.5	0.0	0.343	0.5	---	---	---	---	---
12	1.0	0.0	True	0.627	0.373	True	0.0	0.468	0.5	0.0	0.373	0.5	---	---	---	---	---
13	1.0	0.0	True	0.533	0.467	True	0.0	0.498	0.5	0.0	0.467	0.5	---	---	---	---	---
14	0.0	1.0	False	0.443	0.557	False	0.0	0.494	0.5	0.0	0.443	0.5	---	---	---	---	---
15	0.0	1.0	False	0.45	0.55	False	0.0	0.495	0.5	0.0	0.45	0.5	---	---	---	---	---
16	0.0	1.0	False	0.417	0.583	False	0.0	0.486	0.5	0.0	0.417	0.5	---	---	---	---	---
17	1.0	0.0	True	0.575	0.425	True	0.0	0.489	0.5	0.0	0.425	0.5	---	---	---	---	---
18	0.0	1.0	False	0.459	0.541	False	0.0	0.497	0.5	0.0	0.459	0.5	---	---	---	---	---
19	0.0	1.0	False	0.408	0.592	False	0.0	0.483	0.5	0.0	0.408	0.5	---	---	---	---	---
2	1.0	0.0	True	0.569	0.431	True	0.0	0.49	0.5	0.0	0.431	0.5	---	---	---	---	---
20	0.0	1.0	False	0.443	0.557	False	0.0	0.493	0.5	0.0	0.443	0.5	---	---	---	---	---
21	0.0	1.0	False	0.463	0.537	False	0.0	0.497	0.5	0.0	0.463	0.5	---	---	---	---	---
22	0.0	1.0	False	0.379	0.621	False	0.0	0.471	0.5	0.0	0.379	0.5	---	---	---	---	---
23	1.0	0.0	True	0.595	0.405	True	0.0	0.482	0.5	0.0	0.405	0.5	---	---	---	---	---
24	0.0	1.0	False	0.354	0.646	False	0.0	0.457	0.5	0.0	0.354	0.5	---	---	---	---	---
25	0.0	1.0	False	0.357	0.643	False	0.0	0.459	0.5	0.0	0.357	0.5	---	---	---	---	---
26	1.0	0.0	True	0.559	0.441	True	0.0	0.493	0.5	0.0	0.441	0.5	---	---	---	---	---
27	1.0	0.0	True	0.487	0.513	False	0.0	0.5	0.5	0.0	0.487	0.5	---	---	---	---	---
28	1.0	0.0	True	0.577	0.423	True	0.0	0.488	0.5	0.0	0.423	0.5	---	---	---	---	---
29	1.0	0.0	True	0.5	0.5	False	0.0	0.5	0.5	0.0	0.5	0.5	---	---	---	---	---
