Worker	Est. Error Rate	Eval. Error Rate	Est. Quality (Expected)	Est. Quality (Optimized)	Eval. Quality (Expected)	Eval. Quality (Optimized)	Number of Annotations	Gold Tests
0	54.89%	---	1%	10%	---	---	33	0
1	61.11%	---	5%	22%	---	---	34	0
10	76.67%	---	29%	53%	---	---	30	0
100	34.19%	---	15%	32%	---	---	33	0
101	31.21%	---	14%	38%	---	---	35	0
102	23.21%	---	29%	54%	---	---	30	0
103	39.52%	---	4%	21%	---	---	33	0
104	29.28%	---	18%	41%	---	---	35	0
105	28.13%	---	24%	44%	---	---	32	0
106	31.25%	---	14%	37%	---	---	32	0
107	14.71%	---	50%	71%	---	---	34	0
108	34.48%	---	10%	31%	---	---	35	0
109	20.59%	---	39%	59%	---	---	31	0
11	83.33%	---	50%	67%	---	---	36	0
110	24.36%	---	27%	51%	---	---	28	0
111	21.93%	---	33%	56%	---	---	37	0
112	47.22%	---	0%	6%	---	---	32	0
113	45.56%	---	1%	9%	---	---	33	0
114	48.89%	---	0%	2%	---	---	33	0
115	19.54%	---	37%	61%	---	---	31	0
116	45.9%	---	1%	8%	---	---	28	0
117	30.8%	---	15%	38%	---	---	36	0
118	29.51%	---	17%	41%	---	---	34	0
119	12.41%	---	57%	75%	---	---	33	0
12	82.97%	---	45%	66%	---	---	36	0
13	88.24%	---	62%	76%	---	---	34	0
14	68.05%	---	14%	36%	---	---	33	0
15	53.13%	---	0%	6%	---	---	30	0
16	65.0%	---	10%	30%	---	---	27	0
17	74.6%	---	24%	49%	---	---	32	0
18	70.18%	---	16%	40%	---	---	31	0
19	66.11%	---	11%	32%	---	---	33	0
2	76.1%	---	29%	52%	---	---	33	0
20	66.96%	---	12%	34%	---	---	30	0
21	68.25%	---	13%	36%	---	---	34	0
22	50.45%	---	0%	1%	---	---	30	0
23	75.71%	---	26%	51%	---	---	34	0
24	54.3%	---	1%	9%	---	---	30	0
25	65.83%	---	10%	32%	---	---	35	0
26	64.93%	---	9%	30%	---	---	34	0
27	54.17%	---	1%	8%	---	---	26	0
28	63.97%	---	8%	28%	---	---	33	0
29	71.96%	---	19%	44%	---	---	32	0
3	85.93%	---	47%	72%	---	---	32	0
30	69.02%	---	14%	38%	---	---	32	0
31	87.3%	---	56%	75%	---	---	32	0
32	58.12%	---	3%	16%	---	---	31	0
33	61.31%	---	6%	23%	---	---	30	0
34	51.84%	---	0%	4%	---	---	33	0
35	68.25%	---	13%	36%	---	---	34	0
36	71.88%	---	20%	44%	---	---	32	0
37	58.12%	---	3%	16%	---	---	31	0
38	79.41%	---	38%	59%	---	---	30	0
39	73.81%	---	23%	48%	---	---	39	0
4	66.91%	---	12%	34%	---	---	33	0
40	22.88%	---	29%	54%	---	---	35	0
41	30.0%	---	16%	40%	---	---	30	0
42	34.29%	---	10%	31%	---	---	29	0
43	44.38%	---	2%	11%	---	---	31	0
44	30.15%	---	15%	40%	---	---	29	0
45	21.53%	---	37%	57%	---	---	34	0
46	27.08%	---	21%	46%	---	---	28	0
47	42.71%	---	2%	15%	---	---	32	0
48	41.67%	---	3%	17%	---	---	31	0
49	37.05%	---	7%	26%	---	---	30	0
5	70.34%	---	18%	41%	---	---	29	0
50	20.14%	---	36%	60%	---	---	34	0
51	31.19%	---	14%	38%	---	---	29	0
52	8.89%	---	67%	82%	---	---	33	0
53	22.29%	---	31%	55%	---	---	31	0
54	34.59%	---	10%	31%	---	---	33	0
55	40.25%	---	5%	20%	---	---	36	0
56	34.05%	---	10%	32%	---	---	35	0
57	14.66%	---	52%	71%	---	---	29	0
58	37.25%	---	6%	25%	---	---	32	0
59	26.84%	---	23%	46%	---	---	33	0
6	91.67%	---	67%	83%	---	---	30	0
60	28.48%	---	20%	43%	---	---	36	0
61	30.7%	---	16%	39%	---	---	33	0
62	27.21%	---	21%	46%	---	---	33	0
63	21.32%	---	33%	57%	---	---	33	0
64	21.63%	---	34%	57%	---	---	29	0
65	24.26%	---	26%	51%	---	---	33	0
66	35.14%	---	8%	30%	---	---	35	0
67	45.26%	---	1%	9%	---	---	35	0
68	39.8%	---	4%	20%	---	---	32	0
69	38.08%	---	6%	24%	---	---	36	0
7	78.57%	---	33%	57%	---	---	28	0
70	23.2%	---	31%	54%	---	---	35	0
71	18.01%	---	41%	64%	---	---	33	0
72	26.5%	---	22%	47%	---	---	31	0
73	35.83%	---	8%	28%	---	---	35	0
74	43.97%	---	1%	12%	---	---	37	0
75	25.48%	---	26%	49%	---	---	29	0
76	33.89%	---	11%	32%	---	---	33	0
77	11.76%	---	59%	76%	---	---	31	0
78	51.37%	---	0%	3%	---	---	32	0
79	26.37%	---	24%	47%	---	---	27	0
8	61.61%	---	6%	23%	---	---	36	0
80	31.86%	---	15%	36%	---	---	35	0
81	19.81%	---	36%	60%	---	---	25	0
82	27.08%	---	22%	46%	---	---	34	0
83	35.53%	---	9%	29%	---	---	35	0
84	38.45%	---	5%	23%	---	---	31	0
85	30.21%	---	17%	40%	---	---	34	0
86	31.37%	---	14%	37%	---	---	32	0
87	24.05%	---	27%	52%	---	---	29	0
88	29.41%	---	17%	41%	---	---	34	0
89	27.05%	---	21%	46%	---	---	37	0
9	89.37%	---	63%	79%	---	---	30	0
90	34.72%	---	10%	31%	---	---	34	0
91	28.99%	---	18%	42%	---	---	31	0
92	49.31%	---	0%	1%	---	---	34	0
93	13.89%	---	53%	72%	---	---	32	0
94	27.38%	---	20%	45%	---	---	32	0
95	40.81%	---	4%	18%	---	---	31	0
96	12.16%	---	57%	76%	---	---	32	0
97	32.29%	---	13%	35%	---	---	31	0
98	31.11%	---	15%	38%	---	---	33	0
99	22.4%	---	31%	55%	---	---	25	0
